page	status	http	links_total	links_matched	links_missing
troubleshooting/installation-and-launch-issues/error-message-0xc0000005	pass	200	1	1	0
troubleshooting/installation-and-launch-issues/fails-to-launch	pass	200	3	3	0
troubleshooting/installation-and-launch-issues/tablet-support	pass	200	1	1	0
troubleshooting/installation-and-launch-issues/will-not-install	pass	200	5	5	0
troubleshooting/performance-issues/logic2-consuming-disk-space	pass	200	2	2	0
troubleshooting/platform-specific-issues/centos-compatibility-issues	pass	200	2	2	0
troubleshooting/platform-specific-issues/linux-permission-requirements-for-logic-software	pass	200	1	1	0
troubleshooting/platform-specific-issues/sw-support-for-original-logic	pass	200	1	1	0
troubleshooting/software-crashes-and-errors/error-message-failed-to-load-extension	pass	200	1	1	0
troubleshooting/software-crashes-and-errors/error-message-unable-to-detect-webgl	pass	200	2	2	0
troubleshooting/software-crashes-and-errors/logic-2-error-messages	pass	200	4	4	0
troubleshooting/software-crashes-and-errors/software-has-crashed	pass	200	8	8	0
tutorials-learning/concepts/what-is-a-glitch	pass	200	1	1	0
tutorials-learning/concepts/what-is-data-bandwidth-can-i-reduce-this-in-logic	pass	200	1	1	0
tutorials-learning/concepts/what-is-ram	pass	200	1	1	0
